	Weight	Dry_To_Fresh_Weight_Ratio_100	Sepal_Mm	Petal_Mm	Pericarp_And_Sep_Area_Ratio	Columella_Area	Locule_Number	Pericarp_Area	Pericarp_Max_Cell_Size	Pericarp_And_Sep_Area	Pericarp_Cell_Number_Per_Mm	Pericarp_Thickness	Sepal_To_Petal_Ratio	Pericarp_Area_Ratio	Pericarp_Cell_Number
BGV007111	-1.63328229572298	0.547060236341646	-1.57846931850513	-1.76055793854814	-0.358799317958353	-1.81149867317303	-1.39294519673001	-1.18588228541607	-0.926786747461685	-1.21877412128339	0.709102503409024	-0.879958138385173	-0.878784610096489	0.29145855491042	-1.26752132319324
BGV007149	-0.971447868480108	0.7325131463131	-0.901222783434718	0.0528752238203454	-2.00853955386358	-1.21877412128339	-1.35393355907836	-1.66686424846372	-1.027154272915	-1.55051019563139	0.975741569736452	-1.10981038022363	-1.07330892939351	-1.55051019563139	-1.20083898881393
BGV007151	-1.2512497471971	0.856780390386584	-1.8366264474114	-0.128705906664142	-1.01082141652608	-1.15422571318814	-1.31688018953981	-1.45201722697845	-0.857254320221178	-1.36588671774433	1.51238958606768	-1.42112816583675	-1.8366264474114	-0.610695366820048	-0.468046198144695
BGV007152	-0.856780390386584	0.793114967176137	-0.752405518537939	-0.461307070051608	-1.40764684509272	-1.25304018435762	-0.632174700225301	-1.06555642985282	-0.416534901828723	-1.06555642985282	0.669611329235736	-0.770516133047134	-0.7325131463131	-0.909554838541739	-1.10981038022363
BGV007158	-1.15769640438575	1.10056887678512	-0.564683356633645	-0.856780390386584	-1.21877412128339	-1.03780025665793	-1.2815515655446	-1.73465152202038	-1.26752132319324	-1.66686424846372	1.42112816583675	-1.30308253983479	-0.378823039706058	-0.751703642612018	-0.485489452829721
BGV007161	-1.07330892939351	1.18773010516788	-1.12867219108197	0.0680031427439208	-0.630049160967473	-0.909554838541739	-0.747858594763302	-0.98455894483498	-1.05390706969614	-0.98455894483498	1.46523379268552	-1.34037264781591	-1.39621220509052	-0.324944693878104	-0.399613795672355
BGV007169	-1.10056887678512	1.12867219108197	-1.02105387256369	-1.02105387256369	-1.60597112358835	-1.01082141652608	-0.0455908482388531	-1.09415877076674	-0.709102503409024	-1.15422571318814	1.23349456196869	-1.26752132319324	-0.793114967176137	-1.18588228541607	-0.813120335547026
BGV007181	-1.02105387256369	0.813969104178664	-0.461307070051608	-0.314670232151404	-2.72813120769123	-0.98455894483498	-1.24775385535132	-1.49944602270384	-1.6183366697779	-1.60597112358835	1.91180959125354	-2.35278228677488	-0.618653607602669	-1.90082574485089	-0.975741569736452
BGV007194	-1.43740689898752	0.924124138853624	-1.10056887678512	-0.298842474532533	-1.15422571318814	-1.49944602270384	-1.21532430825827	-1.32638146274556	-1.56317081670628	-1.45201722697845	2.35278228677488	-1.82287066817152	-1.04682407852197	-0.480920153761707	-0.124876758928478
BGV007198	-1.04682407852197	1.07330892939351	-0.793114967176137	0.947520737991728	-1.45201722697845	-0.933971738703879	-1.18412487073434	-1.03780025665793	-1.00111712584397	-1.03780025665793	1.00111712584397	-0.709102503409024	-1.28499171067819	-0.98455894483498	-0.267843382677015
BGV007339	-1.12867219108197	1.02105387256369	-1.43740689898752	-0.283089234620174	-1.81149867317303	-1.32638146274556	-1.15403736965131	-1.25304018435762	-1.46523379268552	-1.32638146274556	1.7463777039325	-2.15635570519183	-1.2512497471971	-1.15422571318814	-1.37962588480448
BGV007366	-1.28499171067819	1.32026370827448	-1.07330892939351	-0.00755015689655547	-1.18588228541607	-1.06555642985282	-1.12495982108462	-1.90082574485089	-1.91180959125354	-2.00853955386358	2.01908620058314	-2.01908620058314	-1.15769640438575	-0.649641891417129	-0.770516133047134
BGV007854	1.28499171067819	-0.878784610096489	1.43740689898752	0.083146641375239	1.40764684509272	1.49944602270384	1.2815515655446	1.49944602270384	1.6183366697779	1.45201722697845	-1.23349456196869	1.42112816583675	1.28499171067819	0.630049160967473	1.46523379268552
BGV007857	1.32026370827448	-0.444575569309399	0.314670232151404	0.693570168473567	1.32638146274556	1.45201722697845	1.47805170483704	1.40764684509272	1.82287066817152	1.49944602270384	-1.26752132319324	1.67891966278069	0.220731882793239	-0.709995371569856	1.7463777039325
BGV007860	1.69349415876336	-1.10056887678512	1.69349415876336	0.0983092327947111	-0.794762630823007	1.55051019563139	1.21532430825827	1.81149867317303	1.08143624642783	1.55051019563139	-1.20083898881393	1.26752132319324	1.8366264474114	-1.73465152202038	1.10981038022363
BGV007862	1.15769640438575	-0.478168724940223	1.07330892939351	-0.444575569309399	2.34341178688269	1.25304018435762	0.198793549013498	1.45201722697845	2.35278228677488	1.40764684509272	-2.35278228677488	2.35278228677488	1.18773010516788	2.34341178688269	1.16941610357907
BGV007863	1.07330892939351	-0.427967614598895	1.15769640438575	-0.600470416446411	2.14632405453188	1.40764684509272	0.106543031914974	1.32638146274556	1.56317081670628	1.288844277586	-2.15635570519183	1.7463777039325	1.35725942390048	2.00853955386358	0.950979255070526
BGV007864	1.8366264474114	-0.971447868480108	1.92509985211144	0.971447868480108	-1.288844277586	1.66686424846372	1.24775385535132	2.14632405453188	1.00111712584397	1.73465152202038	-1.42112816583675	1.027154272915	1.57846931850513	-1.81149867317303	0.333005098197297
BGV007865	1.52802623608251	-0.267405939935071	0.971447868480108	0.113494460967638	0.773053961585312	2.34341178688269	1.57545475087096	2.00853955386358	1.46523379268552	2.14632405453188	-1.027154272915	1.82287066817152	0.924124138853624	-0.535424014586856	2.73641943853251
BGV007867	1.63328229572298	-1.43740689898752	2.16850240378481	1.18773010516788	-1.06555642985282	1.81149867317303	1.15403736965131	1.73465152202038	0.813120335547026	1.60597112358835	-0.950979255070527	0.903124867531437	1.92509985211144	-2.34341178688269	0.709102503409024
BGV007870	1.21887519348102	-1.28499171067819	1.57846931850513	2.7464669030318	NA	NA	NA	NA	NA	NA	NA	NA	0.971447868480108	NA	NA
BGV007871	1.35725942390048	-0.637043690078756	0.995944507566844	1.21887519348102	1.18588228541607	1.60597112358835	1.18412487073434	2.34341178688269	0.709102503409024	1.81149867317303	-1.51238958606768	2.15635570519183	0.752405518537939	0.909554838541739	2.35278228677488
BGV007872	1.76055793854814	-1.57846931850513	2.03185166811755	0.712906503637812	-0.176536327671504	1.90082574485089	1.35393355907836	2.72813120769123	1.91180959125354	2.72813120769123	-1.67891966278069	1.91180959125354	1.69349415876336	-1.45201722697845	2.01908620058314
BGV007875	2.03185166811755	-1.21887519348102	1.28499171067819	-0.113494460967638	1.15422571318814	1.73465152202038	1.43420015968638	1.60597112358835	1.42112816583675	1.90082574485089	-1.91180959125354	1.51238958606768	1.2512497471971	-0.341823030741537	1.00111712584397
BGV007876	1.48119650655781	-0.495167446261611	1.21887519348102	0.529605410657402	0.517086837682098	2.00853955386358	1.63033694638119	1.90082574485089	1.16941610357907	2.00853955386358	-1.82287066817152	2.01908620058314	1.15769640438575	-0.958958568083587	1.67891966278069
BGV007878	1.92509985211144	-0.947520737991728	0.283089234620174	-1.39621220509052	1.12368543654129	2.14632405453188	2.16610675289233	1.66686424846372	0.520831048339629	2.34341178688269	-1.56317081670628	1.46523379268552	0.693570168473567	-1.49944602270384	1.30308253983479
